ticker,BuyPrice,Notes,Trigger,Stop
COHR,240-220,hfhsghdgs,,
LITE,600-550,,,
MU,375-350,,,
SNDK,550-500,,,
TSM,345-325,,,
BE,140-130,,,
AAOI,80-70,optical,,
SIMO,120-110,,,
CRDO,100-90,,,
INOD,40-35,,,
TSLA,350,,,
