iShares S&P Small-Cap 600 Value ETF
Fund Holdings as of,"Apr 08, 2026"
Inception Date,"Jul 24, 2000"
Shares Outstanding,"60,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"XTSLA","BLK CSH FND TREASURY SL AGENCY","STIF","Cash and/or Derivatives","Money Market","80,763,935.71","40,298,298.62","80,763,936.00","1.00","United States","-","USD","1.00","USD","-","0.55","1.10"
"EMN","EASTMAN CHEMICAL","EQUITY","Materials","Equity","77,071,315.86","77,071,315.86","1,037,718.00","74.27","United States","NYSE","USD","1.00","USD","-","1.04","1.05"
"MTCH","MATCH GROUP INC","EQUITY","Communication","Equity","70,207,096.20","70,207,096.20","2,147,006.00","32.70","United States","NASDAQ","USD","1.00","USD","-","0.95","0.96"
"MOH","MOLINA HEALTHCARE INC","EQUITY","Health Care","Equity","69,109,616.55","69,109,616.55","468,381.00","147.55","United States","NYSE","USD","1.00","USD","-","0.94","0.94"
"LKQ","LKQ CORP","EQUITY","Consumer Discretionary","Equity","68,697,952.05","68,697,952.05","2,327,955.00","29.51","United States","NASDAQ","USD","1.00","USD","-","0.93","0.94"
"CE","CELANESE CORP","EQUITY","Materials","Equity","63,490,091.25","63,490,091.25","995,923.00","63.75","United States","NYSE","USD","1.00","USD","-","0.86","0.87"
"SM","SM ENERGY","EQUITY","Energy","Equity","59,308,986.25","59,308,986.25","2,058,625.00","28.81","United States","NYSE","USD","1.00","USD","-","0.80","0.81"
"KMX","CARMAX INC","EQUITY","Consumer Discretionary","Equity","57,052,169.44","57,052,169.44","1,289,606.00","44.24","United States","NYSE","USD","1.00","USD","-","0.77","0.78"
"LNC","LINCOLN NATIONAL CORP","EQUITY","Financials","Equity","52,784,716.52","52,784,716.52","1,480,222.00","35.66","United States","NYSE","USD","1.00","USD","-","0.72","0.72"
"LW","LAMB WESTON HOLDINGS INC","EQUITY","Consumer Staples","Equity","52,531,247.66","52,531,247.66","1,263,074.00","41.59","United States","NYSE","USD","1.00","USD","-","0.71","0.72"
"PAYC","PAYCOM SOFTWARE INC","EQUITY","Industrials","Equity","52,366,715.58","52,366,715.58","444,426.00","117.83","United States","NYSE","USD","1.00","USD","-","0.71","0.71"
"VSNT","VERSANT MEDIA GROUP INC","EQUITY","Communication","Equity","50,943,210.10","50,943,210.10","1,322,170.00","38.53","United States","NASDAQ","USD","1.00","USD","-","0.69","0.69"
"JXN","JACKSON FINANCIAL INC CLASS A","EQUITY","Financials","Equity","50,707,390.67","50,707,390.67","470,777.00","107.71","United States","NYSE","USD","1.00","USD","-","0.69","0.69"
