iShares S&P Small-Cap 600 Value ETF
Fund Holdings as of,"Apr 08, 2026"
Inception Date,"Jul 24, 2000"
Shares Outstanding,"60,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"CZR","CAESARS ENTERTAINMENT INC","EQUITY","Consumer Discretionary","Equity","49,841,655.00","49,841,655.00","1,856,300.00","26.85","United States","NASDAQ","USD","1.00","USD","-","0.68","0.68"
"RITM","RITHM CAPITAL CORP","EQUITY","Financials","Equity","49,493,991.14","49,493,991.14","5,055,566.00","9.79","United States","NYSE","USD","1.00","USD","-","0.67","0.67"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","EQUITY","Energy","Equity","49,121,820.06","49,121,820.06","1,645,071.00","29.86","United States","NYSE","USD","1.00","USD","-","0.67","0.67"
"MATX","MATSON INC","EQUITY","Industrials","Equity","48,913,506.77","48,913,506.77","283,573.00","172.49","United States","NYSE","USD","1.00","USD","-","0.66","0.67"
"AUB","ATLANTIC UNION BANKSHARES CORP","EQUITY","Financials","Equity","48,636,771.52","48,636,771.52","1,289,416.00","37.72","United States","NYSE","USD","1.00","USD","-","0.66","0.66"
"TFX","TELEFLEX INC","EQUITY","Health Care","Equity","47,841,846.93","47,841,846.93","401,931.00","119.03","United States","NYSE","USD","1.00","USD","-","0.65","0.65"
"MHK","MOHAWK INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","47,691,137.34","47,691,137.34","472,283.00","100.98","United States","NYSE","USD","1.00","USD","-","0.65","0.65"
"CRC","CALIFORNIA RESOURCES CORP","EQUITY","Energy","Equity","47,454,527.29","47,454,527.29","714,569.00","66.41","United States","NYSE","USD","1.00","USD","-","0.64","0.65"
"CNR","CORE NATURAL RESOURCES INC","EQUITY","Energy","Equity","44,088,449.22","44,088,449.22","466,002.00","94.61","United States","NYSE","USD","1.00","USD","-","0.60","0.60"
"LBRT","LIBERTY ENERGY INC CLASS A","EQUITY","Energy","Equity","41,502,320.64","41,502,320.64","1,473,804.00","28.16","United States","NYSE","USD","1.00","USD","-","0.56","0.57"
"MDU","MDU RESOURCES GROUP INC","EQUITY","Utilities","Equity","41,209,307.79","41,209,307.79","1,858,787.00","22.17","United States","NYSE","USD","1.00","USD","-","0.56","0.56"
"TDS","TELEPHONE AND DATA SYSTEMS INC","EQUITY","Communication","Equity","40,874,342.87","40,874,342.87","893,819.00","45.73","United States","NYSE","USD","1.00","USD","-","0.55","0.56"
"MTH","MERITAGE CORP","EQUITY","Consumer Discretionary","Equity","39,519,696.40","39,519,696.40","607,528.00","65.05","United States","NYSE","USD","1.00","USD","-","0.54","0.54"
"ENPH","ENPHASE ENERGY INC","EQUITY","Information Technology","Equity","38,750,307.20","38,750,307.20","1,190,120.00","32.56","United States","NASDAQ","USD","1.00","USD","-","0.52","0.53"
"RUSHA","RUSH ENTERPRISES INC CLASS A","EQUITY","Industrials","Equity","38,717,546.40","38,717,546.40","551,532.00","70.20","United States","NASDAQ","USD","1.00","USD","-","0.52","0.53"
"ESI","ELEMENT SOLUTIONS INC","EQUITY","Materials","Equity","38,170,024.20","38,170,024.20","1,034,418.00","36.90","United States","NYSE","USD","1.00","USD","-","0.52","0.52"
"AMTM","AMENTUM HOLDINGS INC","EQUITY","Industrials","Equity","37,946,170.35","37,946,170.35","1,397,649.00","27.15","United States","NYSE","USD","1.00","USD","-","0.51","0.52"
"VSCO","VICTORIA S SECRET","EQUITY","Consumer Discretionary","Equity","37,639,470.28","37,639,470.28","730,013.00","51.56","United States","NYSE","USD","1.00","USD","-","0.51","0.51"
"UCB","UNITED COMMUNITY BANKS INC","EQUITY","Financials","Equity","36,697,489.22","36,697,489.22","1,096,757.00","33.46","United States","NYSE","USD","1.00","USD","-","0.50","0.50"
"TPH","TRI POINTE HOMES INC","EQUITY","Consumer Discretionary","Equity","35,895,443.20","35,895,443.20","768,310.00","46.72","United States","NYSE","USD","1.00","USD","-","0.49","0.49"
"GPI","GROUP AUTOMOTIVE INC","EQUITY","Consumer Discretionary","Equity","35,687,540.07","35,687,540.07","107,289.00","332.63","United States","NYSE","USD","1.00","USD","-","0.48","0.49"
"ABG","ASBURY AUTOMOTIVE GROUP INC","EQUITY","Consumer Discretionary","Equity","35,481,628.76","35,481,628.76","176,807.00","200.68","United States","NYSE","USD","1.00","USD","-","0.48","0.48"
"FULT","FULTON FINANCIAL CORP","EQUITY","Financials","Equity","34,896,391.92","34,896,391.92","1,636,024.00","21.33","United States","NASDAQ","USD","1.00","USD","-","0.47","0.48"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","EQUITY","Information Technology","Equity","34,435,400.40","34,435,400.40","475,890.00","72.36","United States","NASDAQ","USD","1.00","USD","-","0.47","0.47"
"LRN","STRIDE INC","EQUITY","Consumer Discretionary","Equity","34,327,497.42","34,327,497.42","382,181.00","89.82","United States","NYSE","USD","1.00","USD","-","0.47","0.47"
"ASO","ACADEMY SPORTS AND OUTDOORS INC","EQUITY","Consumer Discretionary","Equity","34,081,590.80","34,081,590.80","606,434.00","56.20","United States","NASDAQ","USD","1.00","USD","-","0.46","0.46"
"RNST","RENASANT CORP","EQUITY","Financials","Equity","33,487,930.41","33,487,930.41","860,651.00","38.91","United States","NYSE","USD","1.00","USD","-","0.45","0.46"
"SIG","SIGNET JEWELERS LTD","EQUITY","Consumer Discretionary","Equity","33,470,471.38","33,470,471.38","370,003.00","90.46","United States","NYSE","USD","1.00","USD","-","0.45","0.46"
"LUMN","LUMEN TECHNOLOGIES INC","EQUITY","Communication","Equity","33,463,708.14","33,463,708.14","4,719,846.00","7.09","United States","NYSE","USD","1.00","USD","-","0.45","0.46"
"BTU","PEABODY ENERGY CORP","EQUITY","Energy","Equity","33,376,062.00","33,376,062.00","1,105,900.00","30.18","United States","NYSE","USD","1.00","USD","-","0.45","0.45"
"DIOD","DIODES INC","EQUITY","Information Technology","Equity","32,794,199.40","32,794,199.40","417,229.00","78.60","United States","NASDAQ","USD","1.00","USD","-","0.44","0.45"
"PTEN","PATTERSON UTI ENERGY INC","EQUITY","Energy","Equity","32,450,507.05","32,450,507.05","3,141,385.00","10.33","United States","NASDAQ","USD","1.00","USD","-","0.44","0.44"
"CATY","CATHAY GENERAL BANCORP","EQUITY","Financials","Equity","32,358,612.60","32,358,612.60","611,694.00","52.90","United States","NASDAQ","USD","1.00","USD","-","0.44","0.44"
"FUL","HB FULLER","EQUITY","Materials","Equity","31,009,553.20","31,009,553.20","493,940.00","62.78","United States","NYSE","USD","1.00","USD","-","0.42","0.42"
"GNW","GENWORTH FINANCIAL INC","EQUITY","Financials","Equity","30,777,280.14","30,777,280.14","3,509,382.00","8.77","United States","NYSE","USD","1.00","USD","-","0.42","0.42"
"BFH","BREAD FINANCIAL HOLDINGS INC","EQUITY","Financials","Equity","30,349,855.25","30,349,855.25","385,885.00","78.65","United States","NYSE","USD","1.00","USD","-","0.41","0.41"
"KFY","KORN FERRY","EQUITY","Industrials","Equity","30,327,962.40","30,327,962.40","474,616.00","63.90","United States","NYSE","USD","1.00","USD","-","0.41","0.41"
"PLXS","PLEXUS CORP","EQUITY","Information Technology","Equity","29,893,495.47","29,893,495.47","136,419.00","219.13","United States","NASDAQ","USD","1.00","USD","-","0.40","0.41"
"AAP","ADVANCE AUTO PARTS INC","EQUITY","Consumer Discretionary","Equity","29,808,448.00","29,808,448.00","546,944.00","54.50","United States","NYSE","USD","1.00","USD","-","0.40","0.41"
"FHB","FIRST HAWAIIAN INC","EQUITY","Financials","Equity","29,506,817.34","29,506,817.34","1,118,106.00","26.39","United States","NASDAQ","USD","1.00","USD","-","0.40","0.40"
"MHO","M I HOMES INC","EQUITY","Consumer Discretionary","Equity","29,460,026.68","29,460,026.68","237,811.00","123.88","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"CC","CHEMOURS","EQUITY","Materials","Equity","29,213,247.42","29,213,247.42","1,363,194.00","21.43","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"UCTT","ULTRA CLEAN HOLDINGS INC","EQUITY","Information Technology","Equity","28,336,591.85","28,336,591.85","412,769.00","68.65","United States","NASDAQ","USD","1.00","USD","-","0.38","0.39"
"CRGY","CRESCENT ENERGY CLASS A","EQUITY","Energy","Equity","28,214,076.31","28,214,076.31","2,209,403.00","12.77","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"LCII","LCI INDUSTRIES","EQUITY","Consumer Discretionary","Equity","27,928,702.97","27,928,702.97","220,067.00","126.91","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","EQUITY","Financials","Equity","27,900,767.97","27,900,767.97","1,444,887.00","19.31","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"ITGR","INTEGER HOLDINGS CORP","EQUITY","Health Care","Equity","27,875,589.48","27,875,589.48","318,651.00","87.48","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"MKTX","MARKETAXESS HOLDINGS INC","EQUITY","Financials","Equity","27,524,403.45","27,524,403.45","155,637.00","176.85","United States","NASDAQ","USD","1.00","USD","-","0.37","0.38"
"FFBC","FIRST FINANCIAL BANCORP","EQUITY","Financials","Equity","27,519,600.54","27,519,600.54","941,807.00","29.22","United States","NASDAQ","USD","1.00","USD","-","0.37","0.38"
"FIBK","FIRST INTERSTATE BANCSYSTEM INC","EQUITY","Financials","Equity","27,278,975.20","27,278,975.20","801,380.00","34.04","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"BOH","BANK OF HAWAII CORP","EQUITY","Financials","Equity","27,248,369.53","27,248,369.53","348,311.00","78.23","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"POWI","POWER INTEGRATIONS INC","EQUITY","Information Technology","Equity","27,202,432.53","27,202,432.53","504,777.00","53.89","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"CWK","CUSHMAN AND WAKEFIELD LTD","EQUITY","Real Estate","Equity","27,125,128.82","27,125,128.82","2,003,333.00","13.54","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"NE","NOBLE CORPORATION PLC","EQUITY","Energy","Equity","27,050,623.04","27,050,623.04","537,572.00","50.32","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","EQUITY","Financials","Equity","26,938,854.99","26,938,854.99","1,318,593.00","20.43","United States","NASDAQ","USD","1.00","USD","-","0.36","0.37"
"BCC","BOISE CASCADE","EQUITY","Industrials","Equity","26,726,735.13","26,726,735.13","337,331.00","79.23","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"NOG","NORTHERN OIL AND GAS INC","EQUITY","Energy","Equity","26,628,350.74","26,628,350.74","948,979.00","28.06","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"KMT","KENNAMETAL INC","EQUITY","Industrials","Equity","26,284,883.12","26,284,883.12","692,984.00","37.93","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"GTES","GATES INDUSTRIAL PLC","EQUITY","Industrials","Equity","26,029,203.33","26,029,203.33","1,061,983.00","24.51","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"PFS","PROVIDENT FINANCIAL SERVICES INC","EQUITY","Financials","Equity","25,911,521.58","25,911,521.58","1,174,593.00","22.06","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"UNFI","UNITED NATURAL FOODS INC","EQUITY","Consumer Staples","Equity","25,811,794.62","25,811,794.62","554,139.00","46.58","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","EQUITY","Financials","Equity","25,514,496.48","25,514,496.48","661,683.00","38.56","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"PHIN","PHINIA INC","EQUITY","Consumer Discretionary","Equity","25,115,806.12","25,115,806.12","345,187.00","72.76","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"SLG","SL GREEN REALTY REIT CORP","EQUITY","Real Estate","Equity","24,986,384.28","24,986,384.28","647,148.00","38.61","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"HE","HAWAIIAN ELECTRIC INDUSTRIES INC","EQUITY","Utilities","Equity","24,380,050.04","24,380,050.04","1,569,868.00","15.53","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"TRN","TRINITY INDUSTRIES INC","EQUITY","Industrials","Equity","24,369,663.48","24,369,663.48","729,194.00","33.42","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"HCC","WARRIOR MET COAL INC","EQUITY","Materials","Equity","24,351,761.68","24,351,761.68","272,513.00","89.36","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"RXO","RXO INC","EQUITY","Industrials","Equity","24,302,504.94","24,302,504.94","1,494,619.00","16.26","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"BBT","BEACON FINANCIAL CORP","EQUITY","Financials","Equity","24,139,484.88","24,139,484.88","762,942.00","31.64","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"APLE","APPLE HOSPITALITY REIT INC","EQUITY","Real Estate","Equity","24,050,805.98","24,050,805.98","2,000,899.00","12.02","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"AKR","ACADIA REALTY TRUST REIT","EQUITY","Real Estate","Equity","24,024,631.68","24,024,631.68","1,191,698.00","20.16","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"IAC","IAC INC","EQUITY","Communication","Equity","23,974,530.48","23,974,530.48","592,842.00","40.44","United States","NASDAQ","USD","1.00","USD","-","0.32","0.33"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","EQUITY","Health Care","Equity","23,909,468.16","23,909,468.16","430,336.00","55.56","United States","NYSE","USD","1.00","USD","-","0.32","0.33"
"CVBF","CVB FINANCIAL CORP","EQUITY","Financials","Equity","23,523,457.30","23,523,457.30","1,158,791.00","20.30","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"PLAB","PHOTRONICS INC","EQUITY","Information Technology","Equity","23,252,054.67","23,252,054.67","537,123.00","43.29","United States","NASDAQ","USD","1.00","USD","-","0.31","0.32"
"MAC","MACERICH REIT","EQUITY","Real Estate","Equity","23,137,466.44","23,137,466.44","1,118,833.00","20.68","United States","NYSE","USD","1.00","USD","-","0.31","0.32"
"PIPR","PIPER SANDLER COMPANIES","EQUITY","Financials","Equity","23,069,001.32","23,069,001.32","282,847.00","81.56","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"VSH","VISHAY INTERTECHNOLOGY INC","EQUITY","Information Technology","Equity","23,011,560.87","23,011,560.87","1,123,063.00","20.49","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"WAFD","WAFD INC","EQUITY","Financials","Equity","22,886,206.50","22,886,206.50","697,325.00","32.82","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"ANDE","ANDERSONS INC","EQUITY","Consumer Staples","Equity","22,847,219.10","22,847,219.10","305,853.00","74.70","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"SEE","SEALED AIR CORP","EQUITY","Materials","Equity","22,620,809.10","22,620,809.10","536,674.00","42.15","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"QRVO","QORVO INC","EQUITY","Information Technology","Equity","22,606,871.41","22,606,871.41","284,113.00","79.57","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"BANC","BANC OF CALIFORNIA INC","EQUITY","Financials","Equity","22,591,063.51","22,591,063.51","1,221,799.00","18.49","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"BNL","BROADSTONE NET LEASE INC","EQUITY","Real Estate","Equity","22,555,413.45","22,555,413.45","1,156,095.00","19.51","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"HIW","HIGHWOODS PROPERTIES REIT INC","EQUITY","Real Estate","Equity","22,228,532.48","22,228,532.48","1,000,384.00","22.22","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"GEO","GEO GROUP INC","EQUITY","Industrials","Equity","22,142,625.93","22,142,625.93","1,244,667.00","17.79","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"ACHC","ACADIA HEALTHCARE COMPANY INC","EQUITY","Health Care","Equity","22,074,642.51","22,074,642.51","839,021.00","26.31","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"ARCB","ARCBEST CORP","EQUITY","Industrials","Equity","22,017,288.16","22,017,288.16","203,224.00","108.34","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"SMTC","SEMTECH CORP","EQUITY","Information Technology","Equity","21,971,395.50","21,971,395.50","252,690.00","86.95","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"HNI","HNI CORP","EQUITY","Industrials","Equity","21,830,835.40","21,830,835.40","630,949.00","34.60","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"RAL","RALLIANT CORP","EQUITY","Information Technology","Equity","21,800,719.92","21,800,719.92","492,783.00","44.24","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"RHI","ROBERT HALF","EQUITY","Industrials","Equity","21,692,568.00","21,692,568.00","903,857.00","24.00","United States","NYSE","USD","1.00","USD","-","0.29","0.30"
"NBTB","NBT BANCORP INC","EQUITY","Financials","Equity","21,395,096.84","21,395,096.84","475,658.00","44.98","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"SKY","CHAMPION HOMES INC","EQUITY","Consumer Discretionary","Equity","21,365,980.35","21,365,980.35","271,659.00","78.65","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"MPT","MEDICAL PROPERTIES TRUST REIT INC","EQUITY","Real Estate","Equity","21,319,192.25","21,319,192.25","4,488,251.00","4.75","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"RDN","RADIAN GROUP INC","EQUITY","Financials","Equity","21,298,127.59","21,298,127.59","616,087.00","34.57","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"HUBG","HUB GROUP INC CLASS A","EQUITY","Industrials","Equity","21,264,341.67","21,264,341.67","550,747.00","38.61","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"ADT","ADT INC","EQUITY","Consumer Discretionary","Equity","21,184,909.56","21,184,909.56","3,097,209.00","6.84","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"BCPC","BALCHEM CORP","EQUITY","Materials","Equity","21,017,581.80","21,017,581.80","120,756.00","174.05","United States","NASDAQ","USD","1.00","USD","-","0.28","0.29"
"ABM","ABM INDUSTRIES INC","EQUITY","Industrials","Equity","20,821,460.00","20,821,460.00","533,200.00","39.05","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"DNOW","DNOW INC","EQUITY","Industrials","Equity","20,762,043.30","20,762,043.30","1,687,971.00","12.30","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"ABCB","AMERIS BANCORP","EQUITY","Financials","Equity","20,632,939.80","20,632,939.80","251,009.00","82.20","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"INDB","INDEPENDENT BANK CORP","EQUITY","Financials","Equity","20,611,759.77","20,611,759.77","257,229.00","80.13","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"MTX","MINERALS TECHNOLOGIES INC","EQUITY","Materials","Equity","20,564,229.27","20,564,229.27","282,981.00","72.67","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"NEOG","NEOGEN CORP","EQUITY","Health Care","Equity","20,454,918.88","20,454,918.88","1,978,232.00","10.34","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"NSIT","INSIGHT ENTERPRISES INC","EQUITY","Information Technology","Equity","20,323,036.08","20,323,036.08","281,912.00","72.09","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"FMC","FMC CORP","EQUITY","Materials","Equity","20,257,212.96","20,257,212.96","1,135,494.00","17.84","United States","NYSE","USD","1.00","USD","-","0.27","0.28"
"REZI","RESIDEO TECHNOLOGIES INC","EQUITY","Industrials","Equity","20,175,676.80","20,175,676.80","551,248.00","36.60","United States","NYSE","USD","1.00","USD","-","0.27","0.28"
"PATK","PATRICK INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","20,162,938.08","20,162,938.08","166,512.00","121.09","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"UNF","UNIFIRST CORP","EQUITY","Industrials","Equity","20,120,290.38","20,120,290.38","77,886.00","258.33","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"KALU","KAISER ALUMINIUM CORP","EQUITY","Materials","Equity","20,115,048.00","20,115,048.00","146,100.00","137.68","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","EQUITY","Real Estate","Equity","19,944,144.00","19,944,144.00","629,550.00","31.68","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"HTO","H2O AMERICA","EQUITY","Utilities","Equity","19,780,725.00","19,780,725.00","339,875.00","58.20","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"BANR","BANNER CORP","EQUITY","Financials","Equity","19,734,636.72","19,734,636.72","310,098.00","63.64","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"BHE","BENCHMARK ELECTRONICS INC","EQUITY","Information Technology","Equity","19,630,956.75","19,630,956.75","324,425.00","60.51","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"DXC","DXC TECHNOLOGY","EQUITY","Information Technology","Equity","19,591,304.22","19,591,304.22","1,543,838.00","12.69","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"AMR","ALPHA METALLURGICAL RESOURCE INC","EQUITY","Materials","Equity","19,586,088.96","19,586,088.96","98,304.00","199.24","United States","NYSE","USD","1.00","USD","-","0.27","0.27"
"GKOS","GLAUKOS CORP","EQUITY","Health Care","Equity","19,203,984.90","19,203,984.90","161,895.00","118.62","United States","NYSE","USD","1.00","USD","-","0.26","0.26"
"OTTR","OTTER TAIL CORP","EQUITY","Utilities","Equity","19,013,894.50","19,013,894.50","209,635.00","90.70","United States","NASDAQ","USD","1.00","USD","-","0.26","0.26"
"JXN","JACKSON FINANCIAL INC CLASS A","SWAP","Financials","Equity","0.00","18,724,414.11","173,841.00","107.71","United States","NYSE","USD","1.00","USD","-","0.25","-"
"CXW","CORECIVIC REIT INC","EQUITY","Industrials","Equity","18,543,232.12","18,543,232.12","909,874.00","20.38","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"DAN","DANA INCORPORATED INC","EQUITY","Consumer Discretionary","Equity","18,447,338.10","18,447,338.10","520,670.00","35.43","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"PECO","PHILLIPS EDISON AND COMPANY INC","EQUITY","Real Estate","Equity","18,265,864.45","18,265,864.45","480,049.00","38.05","United States","NASDAQ","USD","1.00","USD","-","0.25","0.25"
"TRNO","TERRENO REALTY REIT CORP","EQUITY","Real Estate","Equity","18,201,880.28","18,201,880.28","284,138.00","64.06","United States","NYSE","USD","1.00","USD","-","0.25","0.25"
"NWBI","NORTHWEST BANCSHARES INC","EQUITY","Financials","Equity","17,887,742.43","17,887,742.43","1,327,969.00","13.47","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"SFBS","SERVISFIRST BANCSHARES INC","EQUITY","Financials","Equity","17,813,505.49","17,813,505.49","228,349.00","78.01","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"PENN","PENN ENTERTAINMENT INC","EQUITY","Consumer Discretionary","Equity","17,745,747.39","17,745,747.39","1,157,583.00","15.33","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"STC","STEWART INFO SERVICES CORP","EQUITY","Financials","Equity","17,709,238.56","17,709,238.56","274,647.00","64.48","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"ACA","ARCOSA INC","EQUITY","Industrials","Equity","17,671,490.40","17,671,490.40","160,504.00","110.10","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"STRA","STRATEGIC EDUCATION INC","EQUITY","Consumer Discretionary","Equity","17,637,211.00","17,637,211.00","211,300.00","83.47","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"CSW","CSW INDUSTRIALS INC","EQUITY","Industrials","Equity","17,461,261.22","17,461,261.22","62,894.00","277.63","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"FCF","FIRST COMMONWEALTH FINANCIAL CORP","EQUITY","Financials","Equity","17,371,445.32","17,371,445.32","934,954.00","18.58","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"VGNT","VERSIGENT PLC","EQUITY","Consumer Discretionary","Equity","17,365,798.45","17,365,798.45","644,371.00","26.95","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
"MC","MOELIS CLASS A","EQUITY","Financials","Equity","17,366,005.80","17,366,005.80","282,420.00","61.49","United States","NYSE","USD","1.00","USD","-","0.24","0.24"
