iShares S&P Small-Cap 600 Growth ETF
Fund Holdings as of,"Apr 08, 2026"
Inception Date,"Jul 24, 2000"
Shares Outstanding,"44,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"GVA","GRANITE CONSTRUCTION INC","EQUITY","Industrials","Equity","47,411,372.40","47,411,372.40","376,460.00","125.94","United States","NYSE","USD","1.00","USD","-","0.69","0.69"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","EQUITY","Industrials","Equity","46,907,682.12","46,907,682.12","540,972.00","86.71","United States","NASDAQ","USD","1.00","USD","-","0.68","0.68"
"LYFT","LYFT INC CLASS A","EQUITY","Industrials","Equity","46,377,345.28","46,377,345.28","3,445,568.00","13.46","United States","NASDAQ","USD","1.00","USD","-","0.67","0.68"
"ETSY","ETSY INC","EQUITY","Consumer Discretionary","Equity","46,122,901.14","46,122,901.14","854,286.00","53.99","United States","NYSE","USD","1.00","USD","-","0.67","0.67"
"AX","AXOS FINANCIAL INC","EQUITY","Financials","Equity","45,499,862.70","45,499,862.70","488,458.00","93.15","United States","NYSE","USD","1.00","USD","-","0.66","0.66"
"KGS","KODIAK GAS SERVICES INC","EQUITY","Energy","Equity","43,325,547.05","43,325,547.05","719,335.00","60.23","United States","NYSE","USD","1.00","USD","-","0.63","0.63"
"MIR","MIRION TECHNOLOGIES INC CLASS A","EQUITY","Information Technology","Equity","42,646,913.22","42,646,913.22","2,117,523.00","20.14","United States","NYSE","USD","1.00","USD","-","0.62","0.62"
"LAUR","LAUREATE EDUCATION INC","EQUITY","Consumer Discretionary","Equity","41,075,969.74","41,075,969.74","1,160,666.00","35.39","United States","NASDAQ","USD","1.00","USD","-","0.59","0.60"
"AIR","AAR CORP","EQUITY","Industrials","Equity","40,806,730.80","40,806,730.80","337,860.00","120.78","United States","NYSE","USD","1.00","USD","-","0.59","0.59"
"GKOS","GLAUKOS CORP","EQUITY","Health Care","Equity","40,685,829.66","40,685,829.66","342,993.00","118.62","United States","NYSE","USD","1.00","USD","-","0.59","0.59"
"TRNO","TERRENO REALTY REIT CORP","EQUITY","Real Estate","Equity","40,431,597.12","40,431,597.12","631,152.00","64.06","United States","NYSE","USD","1.00","USD","-","0.58","0.59"
"MYRG","MYR GROUP INC","EQUITY","Industrials","Equity","40,362,470.07","40,362,470.07","134,349.00","300.43","United States","NASDAQ","USD","1.00","USD","-","0.58","0.59"
"TGTX","TG THERAPEUTICS INC","EQUITY","Health Care","Equity","40,256,617.50","40,256,617.50","1,176,750.00","34.21","United States","NASDAQ","USD","1.00","USD","-","0.58","0.59"
"BOOT","BOOT BARN HOLDINGS INC","EQUITY","Consumer Discretionary","Equity","39,995,016.71","39,995,016.71","263,281.00","151.91","United States","NYSE","USD","1.00","USD","-","0.58","0.58"
