3/12/2026,137.74,134.33,134.68,135.5,134.03,, (0.54), (3.41),0.35,0.82, (1.47),,,-2.6935%,,-1.9321%,0,-0.1452%,9.5017%,-0.5809%,,-0.2233%,,-0.2233%,,-1.1142%,6.9414%,8.0170%,,-0.4826%,,-0.4826%,,-2.4624%,4.2685%,2.1533%,,0,0,1,1
3/13/2026,134.82,137.2,131.94,132.91,133.57,,0.79,2.38, (5.26),0.97,0.66,,,-0.9272%,,0.1158%,0,2.4048%,5.3525%,-0.3812%,,-2.6458%,,-2.6458%,,-0.4499%,1.5006%,5.8274%,,1.2354%,,1.2354%,,2.4823%,4.1217%,2.5240%,,1,0,1,2
3/16/2026,133.87,134.34,132.82,134.34,135.4,,0.3,0.47, (1.52),1.52,1.06,,,1.1429%,,1.0561%,0,0.0660%,7.8242%,3.5845%,,0.7890%,,0.7890%,,-3.6485%,1.8467%,6.8349%,,1.9425%,,1.9425%,,0.8846%,5.7850%,5.5839%,,1,0,0,1
3/17/2026,135.01,134.52,134.39,133.31,133.07,, (0.39), (0.49), (0.13), (1.08), (0.24),,,-1.4369%,,-1.1901%,0,-2.4011%,7.9963%,1.3890%,,-1.0779%,,-1.0779%,,-4.6048%,0.7688%,4.3922%,,-0.9822%,,-0.9822%,,0.2592%,3.7319%,3.5959%,,0,0,0,0
3/18/2026,133.5,134.7,134.81,136.78,136.15,,0.43,1.2,0.11,1.97, (0.63),,,1.9850%,,3.0099%,0,1.0596%,6.1080%,5.4000%,,1.0765%,,1.0765%,,-2.0815%,-1.0792%,4.9427%,,0.9940%,,0.9940%,,2.7070%,3.2122%,5.6886%,,1,0,0,1
3/19/2026,133.74,134.97,135.21,135.07,136.26,, (2.41),1.23,0.24, (0.14),1.19,,,1.8843%,,1.4630%,0,4.4547%,4.3096%,7.9797%,,0.9558%,,0.9558%,,-0.9024%,-2.0166%,6.9585%,,0.7766%,,0.7766%,,3.9662%,1.5038%,6.2094%,,1,1,0,2
3/20/2026,134,132.4,131.8,132.03,131.2,, (2.26), (1.60), (0.60),0.23, (0.83),,,-2.0896%,,-0.8756%,0,3.4634%,5.8682%,10.5208%,,-0.9063%,,-0.9063%,,0.8370%,0.3871%,8.3478%,,-0.4552%,,-0.4552%,,2.2756%,4.7579%,9.2639%,,1,0,0,1
3/23/2026,133.48,136.44,137.85,136.28,135.93,,2.28,2.96,1.41, (1.57), (0.35),,,1.8355%,,2.2443%,0,4.6516%,4.7176%,14.8730%,,-0.3738%,,-0.3738%,,-0.3258%,-3.9743%,8.3259%,,-1.3928%,,-1.3928%,,-1.0597%,-0.1751%,7.5245%,,1,0,0,1
3/24/2026,134.21,131.2,132.54,130.68,130.78,, (1.72), (3.01),1.34, (1.86),0.1,,,-2.5557%,,-2.8443%,0,2.9973%,0.5962%,13.9963%,,-0.3201%,,-0.3201%,,0.4320%,-4.1728%,4.8154%,,-1.3279%,,-1.3279%,,-1.4054%,-1.1462%,6.0410%,,1,1,0,2
3/25/2026,133.21,131.59,133.57,134.31,135.01,,2.43, (1.62),1.98,0.74,0.7,,,1.3512%,,1.6443%,0,1.6316%,2.6913%,13.3554%,,2.5990%,,2.5990%,,1.9545%,-0.1270%,7.3768%,,1.0781%,,1.0781%,,-1.3213%,1.3857%,6.8172%,,1,0,0,1
