Date,Open,10:00 AM,11:00 AM,2:00 PM,Close,,Open,10:00 AM,11:00 AM,2:00 PM,Close,,,Close - Open,,Relative AD,,5-day RAD,10-day RAD,20-day RAD,,Close - 10am,,Relative AD,,5-day RAD,10-day RAD,20-day RAD,,Close - 11am,,Relative AD,,5-day RAD,10-day RAD,20-day RAD,,,,,
1/22/2025, 126.18 , 129.53 , 129.82 , 130.41 , 129.82 ,, 4.68 , 3.35 , 0.29 , 0.59 , (0.59),,,2.8848%,,2.8155%,,2.7045%,2.6784%,,,0.2239%,,0.2486%,,1.2365%,2.3417%,,,0.0000%,,0.0346%,,-0.9728%,0.2790%,,,,,,
1/23/2025, 128.34 , 127.86 , 128.54 , 128.90 , 129.12 ,, (1.48), (0.48), 0.68 , 0.36 , 0.22 ,,,0.6078%,,-0.0443%,,3.3929%,4.8541%,,,0.9855%,,0.4048%,,2.1283%,3.1068%,,,0.4512%,,-0.0200%,,-0.2405%,0.4597%,,,,,,
1/24/2025, 133.31 , 132.41 , 130.39 , 128.91 , 129.17 ,, 4.19 , (0.90), (2.02), (1.48), 0.26 ,,,-3.1055%,,-2.8038%,,-0.5171%,1.8599%,,,-2.4469%,,-2.0603%,,-0.7894%,0.8629%,,,-0.9357%,,-0.7370%,,-1.2149%,-0.8926%,,,,,,
1/27/2025, 109.62 , 111.47 , 105.77 , 98.77 , 100.30 ,, (19.55), 1.85 , (5.70), (7.00), 1.53 ,,,-8.5021%,,-9.2755%,,-9.7320%,-7.5425%,,,-10.0206%,,-10.1526%,,-11.1543%,-9.7659%,,,-5.1716%,,-5.3940%,,-6.0532%,-6.9598%,,,,,,
1/28/2025, 105.02 , 101.26 , 103.28 , 103.65 , 106.54 ,, 4.72 , (3.76), 2.02 , 0.37 , 2.89 ,,,1.4473%,,0.8030%,,-8.5051%,-7.9830%,,,5.2143%,,4.2877%,,-7.2718%,-5.1118%,,,3.1565%,,2.9193%,,-3.1971%,-4.0290%,,,,,,
1/29/2025, 107.38 , 109.09 , 107.14 , 107.53 , 107.84 ,, 0.84 , 1.71 , (1.95), 0.39 , 0.31 ,,,0.4284%,,0.7448%,,-10.5758%,-7.8713%,,,-1.1458%,,-0.9038%,,-8.4242%,-7.1877%,,,0.6534%,,0.8143%,,-2.4174%,-3.3903%,,,,,,
1/30/2025, 114.77 , 113.75 , 113.13 , 113.00 , 113.86 ,, 6.93 , (1.02), (0.62), (0.13), 0.86 ,,,-0.7929%,,-0.9618%,,-11.4933%,-8.1004%,,,0.0967%,,0.0901%,,-8.7389%,-6.6107%,,,0.6453%,,0.0667%,,-2.3307%,-2.5712%,,,,,,
1/31/2025, 115.40 , 116.81 , 117.30 , 116.84 , 115.23 ,, 1.54 , 1.41 , 0.49 , (0.46), (1.61),,,-0.1473%,,0.7910%,0,-7.8985%,-8.4156%,-3.9169%,,-1.3526%,,-0.3150%,,-6.9937%,-7.7830%,-4.2487%,,-1.7647%,,-0.5095%,,-2.1031%,-3.3180%,0.0268%,,0,1,0,1
2/3/2025, 109.67 , 110.58 , 112.42 , 112.28 , 111.50 ,, (5.56), 0.91 , 1.84 , (0.14), (0.78),,,1.6686%,,0.8284%,1,2.2053%,-7.5267%,-4.3268%,,0.8320%,,-0.1156%,,3.0433%,-8.1110%,-4.4336%,,-0.8184%,,-0.7799%,,2.5110%,-3.5422%,-1.0991%,,1,1,1,3
2/4/2025, 113.00 , 109.22 , 110.55 , 111.03 , 112.32 ,, 1.50 , (3.78), 1.33 , 0.48 , 1.29 ,,,-0.6018%,,-1.2591%,1,0.1432%,-8.3619%,-7.2655%,,2.8383%,,2.3775%,,1.1332%,-6.1386%,-3.0049%,,1.6011%,,1.3629%,,0.9545%,-2.2426%,-0.6651%,,1,1,1,3
2/5/2025, 114.73 , 114.01 , 113.78 , 114.56 , 115.49 ,, 2.41 , (0.71), (0.23), 0.78 , 0.93 ,,,0.6668%,,0.0791%,0,-0.5225%,-11.0983%,-8.4198%,,1.2981%,,0.6233%,,2.6603%,-5.7639%,-3.4222%,,1.5029%,,0.9068%,,1.0471%,-1.3704%,-1.0914%,,0,1,1,2
2/6/2025, 116.88 , 116.24 , 115.28 , 115.08 , 115.27 ,, 1.39 , (0.64), (0.96), (0.20), 0.19 ,,,-1.3775%,,-1.4352%,0,-0.9959%,-12.4892%,-7.6352%,,-0.8345%,,-1.0113%,,1.5590%,-7.1800%,-4.0732%,,-0.0087%,,-0.2932%,,0.6872%,-1.6435%,-1.1837%,,0,1,1,2
2/7/2025, 116.85 , 119.55 , 119.73 , 118.68 , 118.47 ,, 1.58 , 2.70 , 0.18 , (1.05), (0.21),,,1.3864%,,2.3932%,1,0.6063%,-7.2922%,-5.4323%,,-0.9034%,,0.2532%,,2.1272%,-4.8665%,-4.0036%,,-1.0524%,,-0.6165%,,0.5802%,-1.5230%,-2.4156%,,1,1,1,3
2/10/2025, 120.00 , 119.70 , 120.26 , 120.01 , 120.23 ,, 1.53 , (0.30), 0.56 , (0.25), 0.22 ,,,0.1917%,,0.0658%,0,-0.1563%,2.0491%,-5.4935%,,0.4428%,,0.2274%,,2.4701%,5.5135%,-4.2524%,,-0.0249%,,-0.0117%,,1.3483%,3.8593%,-3.1005%,,0,0,1,1
2/11/2025, 117.90 , 117.38 , 118.43 , 117.10 , 116.84 ,, (2.33), (0.52), 1.05 , (1.33), (0.26),,,-0.8991%,,-1.3405%,0,-0.2376%,-0.0945%,-8.0774%,,-0.4600%,,-0.7716%,,-0.6791%,0.4542%,-4.6577%,,-1.3426%,,-1.4252%,,-1.4398%,-0.4853%,-4.5143%,,0,0,1,1
2/12/2025, 111.84 , 113.81 , 111.29 , 109.93 , 109.64 ,, (5.00), 1.97 , (2.52), (1.36), (0.29),,,-1.9671%,,-2.6614%,0,-2.9781%,-3.5006%,-11.3719%,,-3.6640%,,-3.9966%,,-5.2989%,-2.6386%,-9.8263%,,-1.4826%,,-1.6370%,,-3.9836%,-2.9366%,-6.3268%,,0,1,1,2
2/13/2025, 109.72 , 109.69 , 109.13 , 109.95 , 109.75 ,, 0.08 , (0.03), (0.56), 0.82 , (0.20),,,0.0273%,,-0.8346%,0,-2.3774%,-3.3734%,-11.4738%,,0.0547%,,-0.7488%,,-5.0365%,-3.4775%,-10.0882%,,0.5681%,,0.1399%,,-3.5506%,-2.8634%,-5.4346%,,0,1,1,2
2/14/2025, 109.05 , 108.12 , 107.36 , 106.80 , 106.87 ,, (0.70), (0.93), (0.76), (0.56), 0.07 ,,,-1.9991%,,-1.9597%,0,-6.7303%,-6.1241%,-14.5396%,,-1.1561%,,-1.0300%,,-6.3197%,-4.1925%,-11.9756%,,-0.4564%,,-0.3237%,,-3.2578%,-2.6777%,-5.9957%,,0,0,1,1
2/18/2025, 109.10 , 109.48 , 109.30 , 110.38 , 111.06 ,, 2.23 , 0.38 , (0.18), 1.08 , 0.68 ,,,1.7965%,,1.7196%,0,-5.0766%,-5.2329%,-12.7596%,,1.4432%,,1.2399%,,-5.3071%,-2.8370%,-10.9479%,,1.6102%,,1.4891%,,-1.7571%,-0.4087%,-3.9510%,,0,1,1,2
2/19/2025, 104.50 , 103.17 , 102.14 , 102.56 , 103.92 ,, (6.56), (1.33), (1.03), 0.42 , 1.36 ,,,-0.5550%,,-1.0173%,0,-4.7533%,-4.9910%,-13.3529%,,0.7270%,,0.2384%,,-4.2971%,-4.9762%,-11.1147%,,1.7427%,,1.2904%,,0.9585%,-0.4813%,-2.7238%,,0,1,1,2
2/20/2025, 104.70 , 100.03 , 100.90 , 101.89 , 103.40 ,, 0.78 , (4.67), 0.87 , 0.99 , 1.51 ,,,-1.2416%,,-1.0520%,0,-3.1439%,-6.1220%,-17.2203%,,3.3690%,,3.0402%,,2.7397%,-2.5592%,-8.3231%,,2.4777%,,1.9788%,,4.5743%,0.5907%,-0.7796%,,0,1,1,2
2/21/2025, 104.18 , 103.11 , 102.25 , 99.38 , 98.30 ,, 0.78 , (1.07), (0.86), (2.87), (1.08),,,-5.6441%,,-3.9691%,0,-6.2785%,-8.6559%,-21.1451%,,-4.6649%,,-3.2630%,,0.2255%,-4.8110%,-11.9909%,,-3.8631%,,-2.7260%,,1.7084%,-1.8422%,-3.4856%,,0,1,1,2
2/24/2025, 94.05 , 94.35 , 92.03 , 93.34 , 92.69 ,, (4.25), 0.30 , (2.32), 1.31 , (0.65),,,-1.4460%,,-0.6454%,0,-4.9641%,-11.6945%,-18.9867%,,-1.7594%,,-1.4989%,,-0.2434%,-6.5630%,-11.4295%,,0.7172%,,0.8008%,,2.8330%,-0.4248%,-1.9478%,,0,1,1,2
2/25/2025, 90.06 , 91.23 , 90.19 , 92.66 , 92.88 ,, (2.63), 1.17 , (1.04), 2.47 , 0.22 ,,,3.1312%,,3.6236%,0,-3.0601%,-8.1367%,-6.0877%,,1.8086%,,1.9800%,,0.4967%,-4.8104%,0.7031%,,2.9826%,,2.6652%,,4.0091%,2.2521%,6.1114%,,0,1,1,2
2/26/2025, 95.76 , 95.92 , 97.53 , 95.88 , 96.38 ,, 2.88 , 0.17 , 1.61 , (1.65), 0.50 ,,,0.6527%,,0.8860%,0,-1.1569%,-5.9103%,-6.0047%,,0.4796%,,1.0099%,,1.2682%,-3.0289%,-2.5747%,,-1.1791%,,-0.4594%,,2.2594%,3.2179%,2.7326%,,0,1,1,2
2/27/2025, 97.93 , 92.82 , 92.99 , 93.83 , 91.57 ,, 1.55 , (5.11), 0.17 , 0.84 , (2.26),,,-6.4944%,,-4.5157%,0,-4.6207%,-7.7646%,-11.2652%,,-1.3467%,,-0.0993%,,-1.8713%,0.8684%,-1.7701%,,-1.5270%,,-0.1132%,,0.1673%,4.7417%,1.8051%,,0,1,1,2
2/28/2025, 90.97 , 91.44 , 93.14 , 90.86 , 93.05 ,, (0.60), 0.47 , 1.70 , (2.28), 2.19 ,,,2.2865%,,0.8332%,1,0.1816%,-6.0969%,-9.4703%,,1.7607%,,0.3888%,,1.7805%,2.0060%,-1.4715%,,-0.0966%,,-0.9814%,,1.9120%,3.6204%,0.7570%,,1,1,1,3
3/3/2025, 93.07 , 89.41 , 89.75 , 88.10 , 86.01 ,, 0.02 , (3.66), 0.34 , (1.65), (2.09),,,-7.5857%,,-5.5376%,0,-4.7107%,-9.6748%,-15.7989%,,-3.8027%,,-2.2716%,,1.0077%,0.7644%,-3.4281%,,-4.1671%,,-2.7408%,,-1.6296%,1.2034%,-1.4743%,,0,1,1,2
3/4/2025, 82.72 , 83.12 , 83.15 , 85.45 , 85.52 ,, (3.29), 0.40 , 0.03 , 2.30 , 0.07 ,,,3.3849%,,3.8748%,0,-4.4594%,-7.5196%,-12.7524%,,2.8874%,,2.6842%,,1.7119%,2.2086%,-0.6284%,,2.8503%,,2.3660%,,-1.9288%,2.0803%,1.6716%,,0,1,1,2
3/5/2025, 87.19 , 85.98 , 86.39 , 87.46 , 87.82 ,, 1.67 , (1.21), 0.41 , 1.07 , 0.36 ,,,0.7226%,,-0.3803%,0,-5.7257%,-6.8826%,-11.8736%,,2.1400%,,0.8827%,,1.5847%,2.8529%,-2.1232%,,1.6553%,,0.5927%,,-0.8766%,1.3827%,0.9015%,,0,1,1,2
3/6/2025, 83.64 , 84.92 , 86.11 , 84.06 , 84.34 ,, (4.18), 1.28 , 1.19 , (2.05), 0.28 ,,,0.8369%,,1.3026%,1,0.0927%,-4.5280%,-10.6501%,,-0.6830%,,-0.4010%,,1.2830%,-0.5883%,-3.1475%,,-2.0555%,,-1.0343%,,-1.7977%,-1.6303%,-1.0396%,,1,1,1,3
3/7/2025, 85.81 , 84.69 , 82.77 , 82.42 , 83.36 ,, 1.47 , (1.12), (1.92), (0.35), 0.94 ,,,-2.8551%,,-3.7345%,0,-4.4750%,-4.2934%,-12.9493%,,-1.5704%,,-1.9137%,,-1.0194%,0.7611%,-4.0499%,,0.7128%,,-0.1647%,,-0.9810%,0.9310%,-0.9112%,,0,0,1,1
3/10/2025, 80.00 , 78.46 , 76.73 , 77.22 , 77.56 ,, (3.36), (1.54), (1.73), 0.49 , 0.34 ,,,-3.0500%,,-1.8449%,0,-0.7822%,-5.4929%,-17.1874%,,-1.1471%,,0.0180%,,1.2702%,2.2779%,-4.2851%,,1.0817%,,1.6474%,,3.4071%,1.7775%,1.3527%,,0,1,1,2
3/11/2025, 77.81 , 79.30 , 78.39 , 78.72 , 79.13 ,, 0.25 , 1.49 , (0.91), 0.33 , 0.41 ,,,1.6964%,,2.2828%,0,-2.3742%,-6.8337%,-14.9704%,,-0.2144%,,0.4412%,,-0.9728%,0.7392%,-4.0713%,,0.9440%,,0.7007%,,1.7418%,-0.1870%,2.0651%,,0,1,1,2
3/12/2025, 82.44 , 81.06 , 80.04 , 80.32 , 80.25 ,, 3.31 , (1.38), (1.02), 0.28 , (0.07),,,-2.6565%,,-2.0766%,0,-4.0705%,-9.7962%,-15.7065%,,-0.9993%,,-0.8974%,,-2.7528%,-1.1681%,-4.1970%,,0.2624%,,-0.3334%,,0.8156%,-0.0610%,3.1569%,,0,1,1,2
3/13/2025, 79.65 , 78.82 , 80.14 , 79.46 , 80.14 ,, (0.60), (0.83), 1.32 , (0.68), 0.68 ,,,0.6152%,,1.8650%,0,-3.5082%,-3.4155%,-11.1801%,,1.6747%,,2.3089%,,-0.0430%,1.2400%,2.1085%,,0.0000%,,0.8040%,,2.6539%,0.8562%,5.5979%,,0,0,1,1
3/14/2025, 82.00 , 82.40 , 84.01 , 83.38 , 83.51 ,, 1.86 , 0.40 , 1.61 , (0.63), 0.13 ,,,1.8415%,,0.6367%,1,0.8630%,-3.6120%,-9.7089%,,1.3471%,,0.5646%,,2.4353%,1.4158%,3.4219%,,-0.5952%,,-1.0467%,,1.7719%,0.7909%,4.4113%,,1,1,1,3
3/17/2025, 83.88 , 84.64 , 84.09 , 84.66 , 85.09 ,, 0.37 , 0.76 , (0.55), 0.57 , 0.43 ,,,1.4425%,,0.6909%,1,3.3988%,2.6166%,-7.0582%,,0.5317%,,0.2895%,,2.7068%,3.9769%,4.7413%,,1.1892%,,0.6502%,,0.7747%,4.1819%,5.3852%,,1,1,1,3
3/18/2025, 83.51 , 83.64 , 83.92 , 84.04 , 83.99 ,, (1.58), 0.13 , 0.28 , 0.12 , (0.05),,,0.5748%,,1.2387%,1,2.3547%,-0.0195%,-7.5391%,,0.4185%,,0.3685%,,2.6341%,1.6613%,3.8699%,,0.0834%,,0.0370%,,0.1111%,1.8529%,3.9332%,,1,1,1,3
3/19/2025, 84.43 , 82.68 , 83.12 , 83.67 , 84.42 ,, 0.44 , (1.75), 0.44 , 0.55 , 0.75 ,,,-0.0118%,,-0.7545%,1,3.6768%,-0.3937%,-7.2764%,,2.1045%,,1.5565%,,5.0880%,2.3352%,5.1881%,,1.5640%,,0.9447%,,1.3892%,2.2048%,3.5876%,,1,1,1,3
3/20/2025, 83.14 , 83.97 , 84.30 , 83.41 , 82.97 ,, (1.28), 0.83 , 0.33 , (0.89), (0.44),,,-0.2045%,,-0.5879%,1,1.2239%,-2.2843%,-6.8123%,,-1.1909%,,-0.9932%,,1.7859%,1.7429%,1.1546%,,-1.5777%,,-0.8910%,,-0.3058%,2.3481%,0.7177%,,1,1,1,3
3/21/2025, 81.64 , 82.24 , 83.55 , 83.20 , 83.13 ,, (1.33), 0.60 , 1.31 , (0.35), (0.07),,,1.8251%,,0.9847%,0,1.5719%,2.4349%,-1.8585%,,1.0822%,,0.3427%,,1.5640%,3.9993%,4.7603%,,-0.5027%,,-0.9497%,,-0.2088%,1.5631%,2.4940%,,1,0,1,2
3/24/2025, 85.67 , 83.16 , 86.17 , 86.53 , 87.51 ,, 2.54 , (2.51), 3.01 , 0.36 , 0.98 ,,,2.1478%,,1.5837%,0,2.4647%,5.8635%,0.3706%,,5.2309%,,5.0074%,,6.2819%,8.9887%,11.2666%,,1.5551%,,1.4731%,,0.6141%,1.3888%,3.1664%,,1,0,1,2
3/25/2025, 87.51 , 87.88 , 87.45 , 87.00 , 86.94 ,, -   , 0.37 , (0.43), (0.45), (0.06),,,-0.6514%,,-0.6618%,0,0.5642%,2.9189%,-3.9148%,,-1.0696%,,-1.1915%,,4.7220%,7.3560%,8.0952%,,-0.5832%,,-0.4738%,,0.1032%,0.2143%,0.0273%,,1,0,1,2
3/26/2025, 85.74 , 82.18 , 82.00 , 80.23 , 81.66 ,, (1.20), (3.56), (0.18), (1.77), 1.43 ,,,-4.7586%,,-3.6372%,0,-2.3185%,1.3583%,-8.4379%,,-0.6328%,,0.2197%,,3.3851%,8.4731%,7.3050%,,-0.4146%,,0.4050%,,-0.4365%,0.9527%,0.8917%,,0,0,1,1
3/27/2025, 80.25 , 79.74 , 81.02 , 79.53 , 78.96 ,, (1.41), (0.51), 1.28 , (1.49), (0.57),,,-1.6075%,,-1.5757%,0,-3.3064%,-2.0825%,-5.4980%,,-0.9782%,,-0.7442%,,3.6342%,5.4200%,6.6601%,,-2.5426%,,-1.8768%,,-1.4223%,-1.7281%,-0.8719%,,0,0,1,1
3/28/2025, 79.44 , 79.51 , 77.77 , 77.50 , 77.94 ,, 0.48 , 0.07 , (1.74), (0.27), 0.44 ,,,-1.8882%,,-0.1430%,0,-4.4340%,-2.8621%,-6.4741%,,-1.9746%,,-0.5064%,,2.7851%,4.3491%,5.7650%,,0.2186%,,0.7787%,,0.3062%,0.0973%,0.8882%,,0,0,1,1
3/31/2025, 75.22 , 75.67 , 75.93 , 76.69 , 77.48 ,, (2.72), 0.45 , 0.26 , 0.76 , 0.79 ,,,3.0045%,,1.3095%,0,-4.7082%,-2.2435%,0.3730%,,2.3920%,,0.6802%,,-1.5420%,4.7399%,8.7168%,,2.0414%,,0.6726%,,-0.4943%,0.1198%,4.3016%,,0,0,0,0
4/1/2025, 77.15 , 77.17 , 77.41 , 77.62 , 78.49 ,, (0.33), 0.02 , 0.24 , 0.21 , 0.87 ,,,1.7369%,,1.0947%,0,-2.9518%,-2.3876%,-2.4071%,,1.7105%,,1.0268%,,0.6762%,5.3982%,7.0594%,,1.3952%,,1.1611%,,1.1406%,1.2438%,3.0967%,,0,0,0,0
4/2/2025, 75.73 , 78.56 , 79.95 , 80.04 , 80.16 ,, (2.77), 2.84 , 1.39 , 0.09 , 0.12 ,,,5.8567%,,4.1271%,1,4.8126%,2.4940%,2.1003%,,2.0367%,,0.9771%,,1.4336%,4.8187%,7.1539%,,0.2627%,,-0.1928%,,0.5428%,0.1064%,2.3112%,,1,1,1,3
4/3/2025, 73.22 , 74.62 , 72.91 , 73.03 , 71.27 ,, (6.94), 1.40 , (1.71), 0.12 , (1.76),,,-2.6632%,,-1.2928%,1,5.0955%,1.7891%,-0.4952%,,-4.4894%,,-3.1534%,,-0.9757%,2.6585%,4.4014%,,-2.2493%,,-1.7773%,,0.6424%,-0.7799%,1.5682%,,1,1,1,3
4/4/2025, 67.52 , 66.46 , 64.32 , 66.11 , 64.37 ,, (3.75), (1.06), (2.14), 1.79 , (1.74),,,-4.6653%,,-1.1955%,1,4.0429%,-0.3911%,2.0438%,,-3.1447%,,0.2346%,,-0.2347%,2.5504%,6.5497%,,0.0777%,,2.0214%,,1.8851%,2.1912%,3.7543%,,1,1,1,3
4/7/2025, 59.80 , 65.36 , 67.80 , 67.49 , 68.17 ,, (4.57), 5.56 , 2.44 , (0.31), 0.68 ,,,13.9967%,,10.8568%,0,13.5902%,8.8820%,14.7454%,,4.2993%,,2.5119%,,1.5969%,0.0549%,9.0436%,,0.5457%,,0.8145%,,2.0270%,1.5327%,2.9215%,,1,1,0,2
4/8/2025, 72.64 , 73.30 , 72.48 , 71.03 , 69.50 ,, 4.47 , 0.66 , (0.82), (1.45), (1.53),,,-4.3227%,,2.4071%,1,14.9026%,11.9508%,14.8697%,,-5.1842%,,1.6759%,,2.2460%,2.9222%,10.2782%,,-4.1115%,,1.8961%,,2.7619%,3.9025%,4.1169%,,1,1,1,3
4/9/2025, 69.00 , 71.51 , 68.74 , 75.68 , 76.00 ,, (0.50), 2.51 , (2.77), 6.94 , 0.32 ,,,10.1449%,,0.0262%,0,10.8016%,15.6142%,16.9725%,,6.2788%,,-2.4278%,,-1.1589%,0.2747%,8.7478%,,10.5615%,,0.3914%,,3.3461%,3.8890%,4.8417%,,1,0,0,1
4/10/2025, 74.00 , 72.59 , 72.91 , 72.83 , 72.65 ,, (2.00), (1.41), 0.32 , (0.08), (0.18),,,-1.8243%,,-0.4206%,0,11.6738%,16.7693%,14.6869%,,0.0827%,,0.8955%,,2.8901%,1.9144%,7.3344%,,-0.3566%,,-0.0545%,,5.0689%,5.7113%,3.9832%,,1,0,0,1
4/11/2025, 72.99 , 72.15 , 71.87 , 72.92 , 72.67 ,, 0.34 , (0.84), (0.28), 1.05 , (0.25),,,-0.4384%,,-2.5359%,0,10.3335%,14.3764%,11.5143%,,0.7207%,,-0.7192%,,1.9362%,1.7015%,6.0507%,,1.1131%,,-0.9531%,,2.0944%,3.9795%,4.0768%,,1,0,0,1
4/14/2025, 76.50 , 74.51 , 74.79 , 73.53 , 73.59 ,, 3.83 , (1.99), 0.28 , (1.26), 0.06 ,,,-3.8039%,,-2.8702%,0,-3.3935%,10.1967%,7.9532%,,-1.2347%,,-0.9572%,,-1.5328%,0.0641%,4.8040%,,-1.6045%,,-0.9685%,,0.3114%,2.3384%,2.4582%,,0,0,0,0
4/15/2025, 73.17 , 73.16 , 72.98 , 72.85 , 73.20 ,, (0.42), (0.01), (0.18), (0.13), 0.35 ,,,0.0410%,,0.4023%,0,-5.3982%,9.5044%,7.1168%,,0.0547%,,0.7491%,,-2.4596%,-0.2136%,5.1845%,,0.3015%,,0.8305%,,-0.7541%,2.0078%,3.2516%,,0,0,0,0
4/16/2025, 69.13 , 71.93 , 72.41 , 71.06 , 71.87 ,, (4.08), 2.81 , 0.48 , (1.35), 0.81 ,,,3.9711%,,5.0902%,0,-0.3342%,10.4674%,12.9615%,,-0.0834%,,0.7073%,,0.6754%,-0.4835%,4.3352%,,-0.7458%,,0.4829%,,-0.6626%,2.6835%,2.7899%,,0,0,0,0
4/17/2025, 72.51 , 71.87 , 70.70 , 71.43 , 71.20 ,, 0.64 , (0.64), (1.17), 0.73 , (0.23),,,-1.8066%,,-1.5735%,0,-1.4871%,10.1867%,11.9758%,,-0.9322%,,-0.4916%,,-0.7117%,2.1784%,4.8369%,,0.7072%,,0.4539%,,-0.1542%,4.9147%,4.1348%,,0,0,0,0
4/21/2025, 68.68 , 68.38 , 67.62 , 66.67 , 67.67 ,, (2.52), (0.30), (0.76), (0.95), 1.00 ,,,-1.4706%,,-0.0737%,0,0.9751%,11.3086%,10.9174%,,-1.0383%,,-0.3369%,,-0.3293%,1.6069%,4.1573%,,0.0739%,,0.2100%,,1.0089%,3.1033%,5.2945%,,1,0,0,1
4/22/2025, 67.67 , 68.18 , 68.61 , 68.09 , 68.67 ,, -   , 0.51 , 0.43 , (0.52), 0.58 ,,,1.4778%,,0.1108%,0,3.9561%,0.5626%,9.4446%,,0.7187%,,-0.2948%,,0.3331%,-1.1997%,-1.1449%,,0.0875%,,-0.4043%,,1.5731%,1.8845%,3.4171%,,1,1,0,2
4/23/2025, 73.21 , 72.84 , 72.64 , 71.59 , 70.76 ,, 4.54 , (0.37), (0.20), (1.05), (0.83),,,-3.3465%,,-2.4195%,0,1.1342%,-4.2640%,7.6869%,,-2.8556%,,-1.3508%,,-1.7668%,-4.2264%,-1.3042%,,-2.5881%,,-1.2758%,,-0.5332%,-1.2873%,2.6152%,,1,1,0,2
