Date,Open,10:00 AM,11:00 AM,2:00 PM,Close,,Open,10:00 AM,11:00 AM,2:00 PM,Close,,,Close - Open,,Relative AD,,5-day RAD,10-day RAD,20-day RAD,,Close - 10am,,Relative AD,,5-day RAD,10-day RAD,20-day RAD,,Close - 11am,,Relative AD,,5-day RAD,10-day RAD,20-day RAD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2024,, 111.49 , 111.33 , 110.69 , 110.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2025, 111.32 , 112.78 , 111.98 , 110.79 , 111.79 ,, 0.79 , 1.46 , (0.80), (1.19), 1.00 ,,,0.4222%,,1.2383%,,,,,,-0.8778%,,0.0694%,,,,,,-0.1697%,,0.3460%,,,,,,,,,
1/3/2025, 112.48 , 113.38 , 113.62 , 114.75 , 115.20 ,, 0.69 , 0.90 , 0.24 , 1.13 , 0.45 ,,,2.4182%,,1.6795%,,,,,,1.6052%,,0.9488%,,,,,,1.3906%,,0.9289%,,,,,,,,,
1/6/2025, 117.70 , 118.24 , 118.09 , 118.49 , 118.98 ,, 2.50 , 0.54 , (0.15), 0.40 , 0.49 ,,,1.0875%,,1.2334%,,,,,,0.6258%,,1.0406%,,,,,,0.7537%,,1.3331%,,,,,,,,,
1/7/2025, 119.69 , 117.21 , 116.45 , 116.25 , 115.29 ,, 0.71 , (2.48), (0.76), (0.20), (0.96),,,-3.6762%,,-2.2199%,,,,,,-1.6381%,,-0.3603%,,,,,,-0.9961%,,-0.2008%,,,,,,,,,
1/8/2025, 115.15 , 114.90 , 114.61 , 115.59 , 115.51 ,, (0.14), (0.25), (0.29), 0.98 , (0.08),,,0.3126%,,0.1903%,,2.1217%,,,,0.5309%,,0.1836%,,1.8821%,,,,0.7853%,,0.6153%,,3.0225%,,,,,,,
1/10/2025, 115.25 , 114.28 , 113.69 , 115.47 , 114.34 ,, (0.26), (0.97), (0.59), 1.78 , (1.13),,,-0.7896%,,0.1270%,,1.0104%,,,,0.0525%,,0.4762%,,2.2889%,,,,0.5717%,,0.6733%,,3.3498%,,,,,,,
1/13/2025, 110.11 , 112.28 , 111.89 , 112.49 , 112.64 ,, (4.23), 2.17 , (0.39), 0.60 , 0.15 ,,,2.2977%,,1.2435%,,0.5743%,,,,0.3206%,,-0.3664%,,0.9738%,,,,0.6703%,,-0.0115%,,2.4094%,,,,,,,
1/14/2025, 114.61 , 113.60 , 114.63 , 114.60 , 114.91 ,, 1.97 , (1.01), 1.03 , (0.03), 0.31 ,,,0.2618%,,0.6331%,,-0.0260%,,,,1.1532%,,1.1721%,,1.1052%,,,,0.2443%,,0.1755%,,1.2518%,,,,,,,
1/15/2025, 116.47 , 116.50 , 116.66 , 116.75 , 116.10 ,, 1.56 , 0.03 , 0.16 , 0.09 , (0.65),,,-0.3177%,,-0.7327%,,1.4612%,,,,-0.3433%,,-0.4869%,,0.9785%,,,,-0.4800%,,-0.7524%,,0.7003%,,,,,,,
1/16/2025, 117.32 , 117.22 , 118.20 , 118.91 , 118.13 ,, 1.22 , (0.10), 0.98 , 0.71 , (0.78),,,0.6904%,,1.1061%,,2.3770%,4.4986%,,,0.7763%,,0.8574%,,1.6523%,3.5344%,,,-0.0592%,,0.2373%,,0.3223%,3.3448%,,,,,,
1/17/2025, 119.90 , 119.44 , 120.74 , 120.33 , 119.95 ,, 1.77 , (0.46), 1.30 , (0.41), (0.38),,,0.0417%,,-0.0605%,,2.1895%,3.1999%,,,0.4270%,,0.2123%,,1.3884%,3.6773%,,,-0.6543%,,-0.5557%,,-0.9067%,2.4432%,,,,,,
1/21/2025, 121.56 , 120.53 , 120.91 , 121.70 , 121.50 ,, 1.61 , (1.03), 0.38 , 0.79 , (0.20),,,-0.0494%,,-0.4239%,,0.5221%,1.0964%,,,0.8048%,,0.4051%,,2.1599%,3.1337%,,,0.4880%,,0.0632%,,-0.8319%,1.5775%,,,,,,
